official_name,candidate1,score1,reason1,candidate2,score2,reason2,candidate3,score3,reason3,candidate4,score4,reason4,candidate5,score5,reason5
モンキー・Ｄ・ルフィ,モンキー・D・ルフィ,1.000,norm_basic==,,,,,,,,,,,,
フランキー（カティ・フラム）,フランキー,0.990,strip_paren+norm==,,,,,,,,,,,,
ゴール・Ｄ・ロジャー,ゴール・D・ロジャー,1.000,norm_basic==,,,,,,,,,,,,
近海の主（ゴア王国）,近海の主(ゴア王国),1.000,norm_basic==,近海の主（ロングリングロングランド）,0.990,strip_paren+norm==,,,,,,,,,
コウシロウ,霜月コウシロウ,0.940,substring(norm_basic),,,,,,,,,,,,
クロ（クラハドール）,クロ(クラハドール),1.000,norm_basic==,,,,,,,,,,,,
イガラム（Mr.8/イガラッポイ）,イガラム,0.990,strip_paren+norm==,,,,,,,,,,,,
ジェム（Mr.5）,ジェム(Mr.5),1.000,norm_basic==,,,,,,,,,,,,
ミキータ（ミス・バレンタイン）,ミキータ(ミス・バレンタイン),1.000,norm_basic==,,,,,,,,,,,,
ギャルディーノ（Mr.3）,ギャルディーノ(Mr.3),1.000,norm_basic==,,,,,,,,,,,,
マリアンヌ（ミス・ゴールデンウィーク）,マリアンヌ(ミス・ゴールデンウィーク),1.000,norm_basic==,,,,,,,,,,,,
イッシー100（イッシー20）,イッシー100(イッシー20),1.000,norm_basic==,,,,,,,,,,,,
スノウバード（雪鳥）,スノウバード(雪鳥),1.000,norm_basic==,,,,,,,,,,,,
ベンサム（Mr.2・ボン・クレー）,ベンサム(Mr.2・ボン・クレー),1.000,norm_basic==,,,,,,,,,,,,
ドロフィー（ミス・メリークリスマス）,ドロフィー(ミス・メリークリスマス),1.000,norm_basic==,,,,,,,,,,,,
ベーブ（Mr.4）,ベーブ(Mr.4),1.000,norm_basic==,,,,,,,,,,,,
ザラ（ミス・ダブルフィンガー）,ザラ(ミス・ダブルフィンガー),1.000,norm_basic==,,,,,,,,,,,,
ダズ・ボーネス（Mr.1）,ダズ・ボーネス(Mr.1),1.000,norm_basic==,,,,,,,,,,,,
ハサミ,ハサミ(ヒッコシクラブ),0.990,strip_paren+norm==,,,,,,,,,,,,
ラッスー,犬銃ラッスー,0.940,substring(norm_basic),,,,,,,,,,,,
マーカス・マーズ聖,マーカス・マーズ,0.940,substring(norm_basic),,,,,,,,,,,,
トップマン・ウォーキュリー聖,トップマン・ウォーキュリー,0.960,fuzzy_basic,,,,,,,,,,,,
イーザンバロン・V・ナス寿郎聖,イーザンバロン・V・ナス寿郎,0.960,fuzzy_basic,,,,,,,,,,,,
シェパード・十・ピーター聖,シェパード・十・ピーター,0.952,fuzzy_basic,,,,,,,,,,,,
エドワード・ニューゲート（白ひげ）,エドワード・ニューゲート,0.990,strip_paren+norm==,,,,,,,,,,,,
マーシャル・D・ティーチ（黒ひげ）,マーシャル・D・ティーチ,0.990,strip_paren+norm==,,,,,,,,,,,,
ダッ～～～～クスフント,ダッ~~~~クスフント,1.000,norm_basic==,,,,,,,,,,,,
カ～～～～モノハシ,カ~~~~モノハシ,1.000,norm_basic==,,,,,,,,,,,,
ユキヒョ～～～～ウ,ユキヒョ~~~~ウ,1.000,norm_basic==,,,,,,,,,,,,
クザン（青雉）,クザン,0.990,strip_paren+norm==,,,,,,,,,,,,
モンキー・Ｄ・ガープ,モンキー・D・ガープ,1.000,norm_basic==,,,,,,,,,,,,
ケルベロス（ゾンビ）,ケルベロス,0.990,strip_paren+norm==,,,,,,,,,,,,
ビクトリア・シンドリー,シンドリー,0.940,substring(norm_basic),,,,,,,,,,,,
霜月リューマ,リューマ,0.940,substring(norm_basic),,,,,,,,,,,,
シャクヤク（シャッキー）,シャクヤク,0.990,strip_paren+norm==,,,,,,,,,,,,
キラー（鎌ぞう）,キラー,0.990,strip_paren+norm==,,,,,,,,,,,,
トラファルガー・ロー（トラファルガー・Ｄ・ワーテル・ロー）,トラファルガー・ロー(トラファルガー・D・ワーテル・ロー),1.000,norm_basic==,,,,,,,,,,,,
ボルサリーノ（黄猿）,ボルサリーノ,0.990,strip_paren+norm==,,,,,,,,,,,,
