判定内容,キャラ1(ID),キャラ1名前,キャラ2(ID),キャラ2名前,理由
完全一致,613,ヤルル,863,ヤルル,nameが完全に同一
完全一致,664,港友,825,港友,nameが完全に同一
完全一致,685,お蝶,881,お蝶,nameが完全に同一
完全一致,748,ウシアーノ,791,ウシアーノ,nameが完全に同一
完全一致,768,アリーチェ,813,アリーチェ,nameが完全に同一
部分一致,71,ミス・バレンタイン,960,ミキータ(ミス・バレンタイン),正規化名で包含（片方が片方を含む）
部分一致,76,ミス・ゴールデンウィーク,965,マリアンヌ(ミス・ゴールデンウィーク),正規化名で包含（片方が片方を含む）
部分一致,79,電伝虫,233,シルバー電伝虫,正規化名で包含（片方が片方を含む）
部分一致,98,ミス・ダブルフィンガー,1185,ザラ(ミス・ダブルフィンガー),正規化名で包含（片方が片方を含む）
部分一致,100,ミス・メリークリスマス,1183,ドロフィー(ミス・メリークリスマス),正規化名で包含（片方が片方を含む）
部分一致,267,ロズワード,865,ロズワード・チャルロス聖,正規化名で包含（片方が片方を含む）
部分一致,312,ブルゴリ,1076,ブルーゴリラ(ブルゴリ),正規化名で包含（片方が片方を含む）
部分一致,321,金獅子,1140,シキ(金獅子),正規化名で包含（片方が片方を含む）
部分一致,358,アバロ・ピサロ,1224,ピサロ,正規化名で包含（片方が片方を含む）
部分一致,361,茶ひげ,1096,チャドロス・ヒゲリゲス(茶ひげ),正規化名で包含（片方が片方を含む）
部分一致,426,ビッグ・マム,1103,シャーロット・リンリン(ビッグ・マム),正規化名で包含（片方が片方を含む）
部分一致,570,ヨンジ,1109,ヴィンスモーク・ヨンジ,正規化名で包含（片方が片方を含む）
部分一致,607,シャーロット・コンポート,1161,コンポ,正規化名で包含（片方が片方を含む）
部分一致,850,グラム,915,ポーロ・グラム,正規化名で包含（片方が片方を含む）
部分一致,1076,ブルーゴリラ(ブルゴリ),1280,ゴリラ,正規化名で包含（片方が片方を含む）
