index,source_name,resolved,matched,master_id,master_name,reason,score,has_arc
0,モンキー・Ｄ・ルフィ,モンキー・D・ルフィ,True,2,モンキー・D・ルフィ,si.find_character,,True
1,ロロノア・ゾロ,ロロノア・ゾロ,True,9,ロロノア・ゾロ,si.find_character,,True
2,ナミ,ナミ,True,14,ナミ,si.find_character,,True
3,ウソップ,ウソップ,True,21,ウソップ,si.find_character,,True
4,サンジ,サンジ,True,36,サンジ,si.find_character,,True
5,トニートニー・チョッパー,トニートニー・チョッパー,True,92,トニートニー・チョッパー,si.find_character,,True
6,ニコ・ロビン,ニコ・ロビン,True,72,ニコ・ロビン,si.find_character,,True
7,フランキー（カティ・フラム）,フランキー(カティ・フラム),True,206,フランキー,si.find_character,,True
8,ブルック,ブルック,True,237,ブルック,si.find_character,,True
9,ジンベエ,ジンベエ,True,307,ジンベエ,si.find_character,,True
10,サウザンド・サニー号,サウザンド・サニー号,True,930,サウザンド・サニー号,si.find_character,,True
11,ネフェルタリ・ビビ,ネフェルタリ・ビビ,True,63,ネフェルタリ・ビビ,si.find_character,,True
12,ゴール・Ｄ・ロジャー,ゴール・D・ロジャー,True,1,ゴール・D・ロジャー,si.find_character,,True
13,モンスター,モンスター,True,827,モンスター,si.find_character,,True
14,シャンクス,シャンクス,True,3,シャンクス,si.find_character,,True
15,ラッキー・ルウ,ラッキー・ルウ,True,143,ラッキー・ルウ,si.find_character,,True
16,ヤソップ,ヤソップ,True,28,ヤソップ,si.find_character,,True
17,ベン・ベックマン,ベン・ベックマン,True,57,ベン・ベックマン,si.find_character,,True
18,マキノ,マキノ,True,7,マキノ,si.find_character,,True
19,ウープ・スラップ,ウープ・スラップ,True,935,ウープ・スラップ,si.find_character,,True
20,コビー,コビー,True,5,コビー,si.find_character,,True
21,アルビダ,アルビダ,True,4,アルビダ,si.find_character,,True
22,ヘルメッポ,ヘルメッポ,True,10,ヘルメッポ,si.find_character,,True
23,コウシロウ,コウシロウ,True,776,霜月コウシロウ,si.find_character,,True
24,バギー,バギー,True,15,バギー,si.find_character,,True
25,モージ,モージ,True,16,モージ,si.find_character,,True
26,リッチー,リッチー,True,533,リッチー,si.find_character,,True
27,シュシュ,シュシュ,True,19,シュシュ,si.find_character,,True
28,ブードル,ブードル,True,18,ブードル,si.find_character,,True
29,カバジ,カバジ,True,17,カバジ,si.find_character,,True
30,ガイモン,ガイモン,True,20,ガイモン,si.find_character,,True
31,にんじん,にんじん,True,23,にんじん,si.find_character,,True
32,ピーマン,ピーマン,True,22,ピーマン,si.find_character,,True
33,たまねぎ,たまねぎ,True,24,たまねぎ,si.find_character,,True
34,カヤ,カヤ,True,25,カヤ,si.find_character,,True
35,メリー,メリー,True,30,メリー,si.find_character,,True
36,ジャンゴ,ジャンゴ,True,27,ジャンゴ,si.find_character,,True
37,フルボディ,フルボディ,True,35,フルボディ,si.find_character,,True
38,ゼフ,ゼフ,True,37,ゼフ,si.find_character,,True
39,パティ,パティ,True,38,パティ,si.find_character,,True
40,ギン,ギン,True,39,ギン,si.find_character,,True
41,クリーク,クリーク,True,40,クリーク,si.find_character,,True
42,ジュラキュール・ミホーク,ジュラキュール・ミホーク,True,41,ジュラキュール・ミホーク,si.find_character,,True
43,パール,パール,True,43,パール,si.find_character,,True
44,チャボ,チャボ,True,47,チャボ,si.find_character,,True
45,ノジコ,ノジコ,True,48,ノジコ,si.find_character,,True
46,ゲンゾウ,ゲンゾウ,True,49,ゲンゾウ,si.find_character,,True
47,Dr.ナコー,Dr.ナコー,True,1137,Dr.ナコー,si.find_character,,True
48,電伝虫,電伝虫,True,79,電伝虫,si.find_character,,True
49,ニュース・クー,ニュース・クー,True,1092,ニュース・クー,si.find_character,,True
50,ブランニュー,ブランニュー,True,55,ブランニュー,si.find_character,,True
51,スモーカー,スモーカー,True,59,スモーカー,si.find_character,,True
52,たしぎ,たしぎ,True,56,たしぎ,si.find_character,,True
53,モンキー・D・ドラゴン,モンキー・D・ドラゴン,True,60,モンキー・D・ドラゴン,si.find_character,,True
54,ラブーン,ラブーン,True,61,ラブーン,si.find_character,,True
55,クロッカス,クロッカス,True,62,クロッカス,si.find_character,,True
56,Mr.9,Mr.9,True,64,Mr.9,si.find_character,,True
57,イガラム（Mr.8/イガラッポイ）,イガラム(Mr.8/イガラッポイ),True,67,イガラム,si.find_character,,True
58,ミス・マンデー,ミス・マンデー,True,68,ミス・マンデー,si.find_character,,True
59,カルー,カルー,True,69,カルー,si.find_character,,True
60,ブロギー,ブロギー,True,73,ブロギー,si.find_character,,True
61,ドリー,ドリー,True,74,ドリー,si.find_character,,True
62,ギャルディーノ（Mr.3）,ギャルディーノ(Mr.3),True,75,ギャルディーノ(Mr.3),si.find_character,,True
63,マリアンヌ（ミス・ゴールデンウィーク）,マリアンヌ(ミス・ゴールデンウィーク),True,76,マリアンヌ(ミス・ゴールデンウィーク),si.find_character,,True
64,ワポル,ワポル,True,84,ワポル,si.find_character,,True
65,ドルトン,ドルトン,True,87,ドルトン,si.find_character,,True
66,ラパーン,ラパーン,True,90,ラパーン,si.find_character,,True
67,くれは,くれは,True,91,くれは,si.find_character,,True
68,ネフェルタリ・コブラ,ネフェルタリ・コブラ,True,95,ネフェルタリ・コブラ,si.find_character,,True
69,クロコダイル,クロコダイル,True,77,クロコダイル,si.find_character,,True
70,ドロフィー（ミス・メリークリスマス）,ドロフィー(ミス・メリークリスマス),True,100,ドロフィー(ミス・メリークリスマス),si.find_character,,True
71,ザラ（ミス・ダブルフィンガー）,ザラ(ミス・ダブルフィンガー),True,98,ザラ(ミス・ダブルフィンガー),si.find_character,,True
72,ダズ・ボーネス（Mr.1）,ダズ・ボーネス(Mr.1),True,97,ダズ・ボーネス(Mr.1),si.find_character,,True
73,トト,トト,True,109,トト,si.find_character,,True
74,コーザ,コーザ,True,110,コーザ,si.find_character,,True
75,カッパ,カッパ,True,113,カッパ,si.find_character,,True
76,ペル,ペル,True,112,ペル,si.find_character,,True
77,チャカ,チャカ,True,111,チャカ,si.find_character,,True
78,ヒナ,ヒナ,True,123,ヒナ,si.find_character,,True
79,マシラ,マシラ,True,125,マシラ,si.find_character,,True
80,ロシオ,ロシオ,True,128,ロシオ,si.find_character,,True
81,ショウジョウ,ショウジョウ,True,132,ショウジョウ,si.find_character,,True
82,モンブラン・クリケット,モンブラン・クリケット,True,133,モンブラン・クリケット,si.find_character,,True
83,ジェイガルシア・サターン聖,ジェイガルシア・サターン聖,True,741,ジェイガルシア・サターン聖,si.find_character,,True
84,マーカス・マーズ聖,マーカス・マーズ聖,True,752,マーカス・マーズ,si.find_character,,True
85,トップマン・ウォーキュリー聖,トップマン・ウォーキュリー聖,True,753,トップマン・ウォーキュリー,si.find_character,,True
86,イーザンバロン・V・ナス寿郎聖,イーザンバロン・V・ナス寿郎聖,True,754,イーザンバロン・V・ナス寿郎,si.find_character,,True
87,シェパード・十・ピーター聖,シェパード・十・ピーター聖,True,755,シェパード・十・ピーター,si.find_character,,True
88,ステンレス,ステンレス,True,818,ステンレス,si.find_character,,True
89,つる,つる,True,139,つる,si.find_character,,True
90,センゴク,センゴク,True,140,センゴク,si.find_character,,True
91,ドンキホーテ・ドフラミンゴ,ドンキホーテ・ドフラミンゴ,True,137,ドンキホーテ・ドフラミンゴ,si.find_character,,True
92,バーソロミュー・くま,バーソロミュー・くま,True,138,バーソロミュー・くま,si.find_character,,True
93,ラフィット,ラフィット,True,141,ラフィット,si.find_character,,True
94,ロックスター,ロックスター,True,142,ロックスター,si.find_character,,True
95,エドワード・ニューゲート（白ひげ）,エドワード・ニューゲート(白ひげ),True,102,エドワード・ニューゲート,si.find_character,,True
96,マーシャル・D・ティーチ（黒ひげ）,マーシャル・D・ティーチ(黒ひげ),True,89,マーシャル・D・ティーチ,si.find_character,,True
97,ドクQ,ドクQ,True,130,ドクQ,si.find_character,,True
98,ストロンガー,ストロンガー,True,738,ストロンガー,si.find_character,,True
99,コニス,コニス,True,150,コニス,si.find_character,,True
100,アイサ,アイサ,True,160,アイサ,si.find_character,,True
101,カマキリ,カマキリ,True,161,カマキリ,si.find_character,,True
102,ワイパー,ワイパー,True,162,ワイパー,si.find_character,,True
103,ゲンボウ,ゲンボウ,True,165,ゲンボウ,si.find_character,,True
