ID,名前,登場編,組織名
70,Mr.5,,
75,Mr.3,,
80,黒電伝虫,,
82,島喰い,,
83,ボン・クレー,,
97,Mr.1,,
99,Mr.4,,
116,ヒッコシクラブ,,
120,ツメゲリ部隊,,
136,五老星,,
168,大蛇,,
171,シャンドラの長老,,
187,尾田栄一郎,,
189,みなもと,,
203,ヤガラブル,,
223,怪力デストロイヤーズ,,
227,11人の陪審員,,
228,ゴールデン電伝虫,,
233,シルバー電伝虫,,
245,ローラ,,
270,カポネ・ギャングベッジ,,
273,ユースタス・キャプテンキッド,,
278,トラファルガー・ロー,,
280,チャルロス,,
323,サディ,,
371,白電伝虫,,
376,リップ・サービス・ドウティ,,
379,クラーケン,,
423,ジョイボーイ,,
425,タマゴ,,
427,竜,,
442,スライム,,
446,竜 (小型),,
447,ルン,,
451,カン十郎,,
452,トレーボル,,
453,ディアマンテ,,
454,ピーカ,,
455,セニョール・ピンク,,
456,デリンジャー,,
457,ラオ・G,,
458,マッハ・バイス,,
468,スレイマン,,
469,アブドーラ,,
470,ジェット,,
471,オオロンブス,,
472,キャベンディッシュ,,
476,メイナード,,
479,ジャン・アンゴ,,
480,イデオ,,
481,闘牛,,
483,マミー,,
484,メドウズ,,
485,アギョウ,,
486,ダマスク,,
487,ローリング・ローガン,,
488,アキリア,,
489,ブルー・ギリー,,
490,タンク・レパンド,,
496,カブ,,
497,ガンチョ,,
498,ウィッカ,,
499,ジョーラ,,
502,イエローカブ,,
503,ピンクビー,,
504,ビアン,,
505,リニアフォックス,,
506,スカーレット,,
507,グラディウス,,
509,シュガー,,
512,ランポー,,
521,インヘル,,
524,ファルル,,
529,マウジイ,,
530,キュイーン,,
531,チャオ,,
532,フラッパー,,
534,頭割り人形,,
535,グラバー,,
536,コットン,,
537,ボンバ,,
538,コラソン,,
539,ユリカー,,
540,オクトパ子,,
541,ドンキホーテ・ホーミング,,
544,ディエス・バレルズ,,
546,ルシアン,,
547,ギムレット,,
548,シープスヘッド,,
